name,address,coordinates
Kelana Jaya,"Lot L1-3K,5K &6K, Residensi Highpark, No.1 Jalan SS6/7, SS6 Kelana Jaya, 47301 Petaling Jaya, Selangor","3.110906,101.5901082"
Klang,"7&9, Jalan Bestari 9/KS09, KSL Bandar Besetari, 41200 Klang, Selangor","2.9938448,101.4819409"
Shah Alam,"B-LG13,Shop Lot Vista Alam Jalan Ikhtisas, Seksyen 14, 40000 Shah Alam, Selangor","3.0728824,101.5243537"
Ampang,"No 84G, Jalan Mamanda 1, Taman Dato Ahmad Razali, 68000 Ampang, Selangor","3.159832,101.754725"
Kajang,"No. 2-3-G, Jalan Prima Saujana 2/1, Taman Prima Saujana, 43000 Kajang, Selangor","3.0110015,101.8076956"
Bandar Baru Bangi,"No. 8-G-1, Jalan Medan PB2A, Seksyen 9, 43650 Bandar Baru Bangi, Selangor","2.9653944,101.7502476"
Batu Caves,"No. 16-G, Prima Samudera, Jalan Samudera 11, 68100 Batu Caves, Selangor","3.2336664,101.6954576"
Kota Damansara,"13, Jalan Teknologi 3/6E, Taman Sains Selangor, 47810 Petaling Jaya, Selangor","3.1491032,101.5701162"
Seremban,"No. 11-G,Gerbang Seremban, Off Jalan Sungai Ujong, 70200 Seremban, Negeri Sembilan","2.7079156,101.9091484"
Nilai,"PT 7260, Ground Floor, Jalan BBN 1/2A Putra Nilai, 71800 Nilai, Negeri Sembilan.","2.816782,101.7927594"
Melaka,"No. 15&17, Jalan Kommersial TAKH2, Taman Ayer Keroh Height, 75450 Ayer Keroh, Melaka","2.2532958,102.2908935"
Batu Pahat,"No. 30, Jalan Rotan Utama, 83000 Batu Pahat, Johor","1.8638705,102.9544746"
Muar,"Wisma LLT, N0:8-3, Jalan Abdul Rahman, 84000 Muar, Johor","2.028871,102.571891"
Permas Jaya,"No.55, Jalan Permas 10/5, Bandar Baru Permas Jaya, 81750 Masai, Johor","1.4997285,103.8195995"
Setia Tropika,"11 & 15, Jalan Setia Tropika 1/8, Taman Setia Tropika, 81200 Johor Bahru, Johor","1.5455671,103.7117909"
Kuantan,"No.A15G & A17G, Jalan Tun Ismail 1, 25250 Kuantan, Pahang.","3.8149811,103.3282413"
Putrajaya,trajaya,"2.9431399,101.7190007"
Kota Bharu,"Groundfloor Lot 1757 & 1758 Al-Khatiri Point, Bandar Baru Kubang Kerian 16150 Kota Bharu, Kelantan","6.082974172778829,102.2736796404537"
Permatang Pauh B2-G 27,"& 28, Lorong Pauh Jaya 1/3, Taman Pauh Jaya, 13500 Permatang Pauh, Pulau Pinang","5.3734515,100.4129073"
Alor Setar,"Lot 99 Menara Alor Setar Lebuhraya Darul Aman 05150 Alor Setar, Kedah","6.1665833,100.3678731"
